基准高程,9.0

P01,3778.594,2885.732,9.468
P02,3773.103,2888.487,9.533
P03,3766.087,2892.923,9.669
P04,3762.06,2898.991,9.996
P05,3759.293,2906.144,10.081
P06,3758.296,2913.009,10.138
P07,3758.338,2918.692,10.244
P08,3760.633,2921.138,10.982
P09,3762.056,2923.66,10.599
P10,3765.44,2925.61,10.079
P11,3770.899,2926.411,10.235
P12,3777.081,2928.302,10.034
P13,3782.205,2927.48,9.804
P14,3784.604,2927.451,9.804
P15,3789.161,2928.771,9.612
P16,3793.153,2929.106,9.612
P17,3797.203,2927.951,9.975
P18,3802.405,2927.305,9.353
P19,3806.864,2928.345,9.614
P20,3810.016,2926.977,9.309
P21,3812.363,2925.532,9.903
P22,3814.905,2925.745,9.86
P23,3818.429,2924.395,10.966
P24,3819.19,2924.484,11.384
P25,3823.03,2923.527,11.157
P26,3829.613,2919.409,11.293
P27,3832.537,2911.361,10.912
P28,3830.895,2907.862,10.217
P29,3827.358,2903.406,10.59
P30,3831.001,2898.301,9.079
P31,3828.766,2892.006,9.044
P32,3822.258,2888.541,9.095
P33,3815.296,2890.342,9.343
P34,3810.832,2890.661,9.29
P35,3802.221,2887.983,9.124
P36,3796.394,2878.61,9.47
P37,3786.659,2876.201,9.78
P38,3777.909,2880.248,9.524
P39,3787.202,2884.628,11.792
P40,3784.449,2893.717,16.808
P41,3817.825,2874.729,9.767
P42,3826.094,2873.631,10.234
P43,3835.38,2870.698,10.19
P44,3836.929,2861.121,10.257
P45,3832.075,2855.926,9.759
P46,3824.011,2857.301,9.985
P47,3814.973,2860.992,9.714
P48,3814.884,2868.448,9.482
P49,3818.132,2872.296,9.613
P50,3828.113,2864.528,14.402
