10.00	13.50	14.00	13.80	13.90	15.60	13.30	14.50	13.70	14.40
13.50	13.30	15.10	16.40	15.40	14.90	11.30	13.50	17.70	13.30
15.70	14.00	16.30	18.60	16.80	16.60	12.50	15.50	16.70	14.80
16.50	15.90	15.20	17.40	17.60	17.70	14.30	14.50	18.50	15.60
12.60	13.30	14.40	16.50	18.40	18.40	17.30	16.50	19.70	17.40
14.10	17.70	16.00	15.40	14.50	19.60	15.20	18.50	14.70	18.30
18.50	14.50	14.70	13.10	15.40	14.30	12.30	17.50	12.40	13.20
22.30	15.20	15.80	18.00	17.20	13.50	13.70	16.50	14.70	15.30
17.50	16.30	16.30	13.60	18.40	15.70	16.30	15.50	15.70	16.40
13.20	17.30	15.00	12.80	19.10	16.60	17.60	16.50	13.30	17.30
