DM,176.180340,176.130300
DM,176.180340,176.132400
DM,176.180340,176.131920
DM,176.180340,176.130780
DM,176.180340,176.131200
DM,176.180340,176.131680

0.005,30
K,1773.454,5735.7683,0,0
13,1773.454,5639.5338,0,0
14,1774.0036,5548.7985,0,0
15,1773.454,5464.6621,0,0
16,1773.454,5376.6763,0,0
E,1822.9143,5382.1754,1,2
A,1892.7081,5389.8742,0,0
1,1950.9613,5394.8234,0,0
2,2011.9622,5398.1229,0,0
3,2009.764,5489.958,0,0
4,2008.6649,5590.0418,0,0
5,2007.0162,5673.6283,0,0
B,2004.2684,5786.91,1,2
C,2003.1693,5890.8432,0,0
6,2001.5206,5963.9814,0,0
7,2000.4215,6060.2158,0,0
8,1954.8082,6063.5153,0,0
D,1912.4922,6065.7149,1,2
F,1859.7347,6068.4645,0,0
9,1815.77,6068.4645,0,0
10,1774.5532,6070.1142,0,0
11,1773.454,5942.5349,0,0
12,1772.9045,5838.0517,0,0
K,1773.454,5735.7683,0,0
