²Î¿¼¸ß³Ì,9.0

  
P01,3793.011,2869.972,9.571
P02,3795.959,2868.952,9.615
P03,3799.283,2864.64,9.977
P04,3799.039,2856.23,10.102
P05,3795.293,2853.8,10.115
P06,3789.301,2853.684,10.275
P07,3784.585,2857.299,10.238
P08,3780.326,2861.322,10.011
P09,3776.541,2864.789,9.692
P10,3779.115,2869.933,9.38
P11,3785.879,2870.586,9.528
P12,3792.979,2870.191,9.554
P13,3790.221,2869.222,9.998
P14,3791.97,2865.383,12.355
P15,3787.793,2865.415,12.966
P16,3781.747,2865.363,12.793
P17,3785.322,2861.955,12.472
P18,3788.845,2858.02,12.97
P19,3793.866,2858.628,12.881
P20,3794.916,2863.177,12.794
P21,3795.059,2862.592,12.55
P22,3786.324,2863.73,12.143
P23,3776.468,2858.881,10.029
P24,3780.976,2855.736,10.168
P25,3784.596,2852.645,10.318
P26,3781.654,2850.453,10.155
P27,3780.524,2847.34,10.309
P28,3778.428,2845.174,10.354
P29,3772.222,2845.423,10.604
P30,3764.824,2845.985,10.485
P31,3757.095,2846.279,10.65
