1,DF1,470004.9813,3831454.974,0
2,DF1,470004.9434,3831454.593,0
3,DF1,470005.4118,3831454.593,0
4,DF1,470005.3802,3831454.967,0
5,DF1,470004.9806,3831454.967,0
6,TF1-5,470005.6207,3831454.956,0
7,TF1-5,470006.1177,3831454.828,0
8,TF1-5,470005.9942,3831454.582,0
9,TF1-5,470006.3804,3831454.441,0
10,TF1-5,470005.8739,3831454.272,0
11,TF1-5,470005.6745,3831454.505,0
12,TF1-5,470005.7252,3831454.656,0
13,TF1-5,470005.6207,3831454.956,0
24,0GL1-0.1,470004.9782,3831455.108,0
25,GL1-0.1,470005.2418,3831455.097,0
26,GL1-0.1,470005.4034,3831455.087,0
27,GL1-0.1,470005.6243,3831455.068,0
28,GL1-0.1,470005.874,3831455.033,0
29,GL1-0.1,470006.0749,3831454.989,0
30,GL1-0.1,470006.2059,3831454.946,0
31,GL1-0.1,470006.4188,3831454.853,0
32,GL1-0.1,470006.5839,3831454.758,0
33,GL1-0.1,470006.7444,3831454.644,0
34,LD1,470005.1238,3831455.192,0
35,LD1,470005.5511,3831455.192,0
36,LD1,470006.3424,3831455.013,0
37,LD1,470006.5735,3831454.876,0
38,LD1,470006.814,3831454.737,0
